6073	5893	5832	5884	6457	6754	7017	7238	7410	7394	7487	7388	7360	7505	7539	7767	7902	7684	7133	6655	5990	6167	6176	6214	6433	7070	7432	7882	8129	8619	9214	10554	10836	11642	11662	12008	10901	11766	11901	11865	11823	12719	12040	11314	10826	10341	9850	9281	8467	7809	7429	7138	6566	5622	5140	4756	4348	3952	3679	3369	3072	2791	1819	1388	1273	1287	1392	1504	1417	1320	1126	1103	1094	1022	877	877	752	671	625	550	461	412	348	271	226	193	154	144	108	80	54	47	42	35	25	11	15	2	6	6	0
6110	5924	5796	5732	5984	6739	6663	6874	7170	7365	7366	7531	7401	7345	7539	7621	7845	7911	7809	7105	6768	6368	6803	6900	7062	7325	8063	8414	8740	8916	9249	9652	10929	11173	11803	11724	11947	10856	11692	11811	11786	11699	12600	11926	11203	10694	10210	9732	9193	8340	7716	7279	6991	6447	5519	5003	4601	4229	3808	3537	3208	2927	2623	1736	1341	1148	1199	1329	1420	1361	1258	1079	1059	1050	957	822	820	708	623	572	493	421	375	313	219	202	169	117	111	90	66	43	36	32	24	19	8	10	1	2	0
6007	5947	5584	5776	5885	6191	6598	6454	6755	7066	7307	7338	7467	7344	7284	7500	7643	7773	7728	7503	6909	6771	6638	7134	7314	7523	7862	8617	8917	9180	9264	9544	9839	11078	11256	11682	11623	11780	10754	11527	11627	11563	11502	12376	11719	10935	10505	9970	9506	9013	8204	7549	7050	6765	6205	5337	4840	4397	4014	3597	3264	2907	2647	2436	1649	1154	1025	1109	1251	1323	1292	1177	1013	979	993	884	769	760	651	569	521	448	375	337	269	182	169	150	90	88	72	49	30	31	23	13	11	4	8	1	0
5847	5753	5594	5559	5896	6037	6033	6452	6340	6750	6974	7266	7273	7360	7340	7325	7579	7687	7737	7627	7463	7061	7182	7083	7736	7959	8247	8650	9360	9608	9714	9638	9877	10095	11237	11292	11689	11583	11677	10731	11482	11440	11413	11339	12191	11516	10706	10312	9822	9371	8832	8032	7353	6872	6589	6042	5127	4673	4226	3790	3388	3004	2744	2473	2303	1460	1044	964	1061	1198	1259	1224	1125	951	941	917	810	720	725	593	526	469	413	332	298	233	153	143	125	76	71	54	38	25	23	18	9	6	3	3	0
5679	5743	5438	5554	5704	6036	5940	5937	6335	6279	6709	6936	7208	7176	7249	7350	7349	7566	7659	7554	7573	7575	7484	7676	7732	8505	8745	9090	9435	10026	10204	10197	10083	10238	10316	11363	11412	11722	11548	11576	10689	11338	11341	11233	11170	12035	11319	10493	10148	9679	9215	8659	7838	7134	6666	6368	5856	4900	4481	3983	3550	3130	2787	2563	2339	1992	1336	993	902	1019	1126	1208	1149	1059	899	874	855	753	685	648	538	476	416	376	282	261	195	141	121	100	62	58	45	25	16	18	14	7	5	2	0
5993	5518	5476	5351	5641	6000	5998	5884	5986	6376	6345	6722	6966	7174	7168	7352	7452	7436	7624	7511	7569	7762	8002	8094	8377	8525	9354	9749	9942	10282	10736	10799	10751	10458	10573	10530	11532	11536	11802	11574	11567	10618	11283	11231	11091	11076	11981	11208	10392	10065	9566	9003	8520	7669	6948	6517	6199	5644	4735	4240	3730	3290	2921	2619	2397	2041	1813	1247	955	858	979	1073	1146	1082	1005	841	804	803	683	626	586	488	420	362	331	254	228	166	121	102	80	48	33	34	21	11	10	11	6	4	0
6314	5854	5288	5557	5577	6065	6091	6059	5963	6112	6512	6509	6842	7004	7224	7282	7573	7556	7474	7502	7521	7847	8222	8666	8821	9327	9508	10337	10687	10823	11096	11412	11456	11251	10870	10884	10766	11743	11670	11879	11591	11517	10663	11211	11183	11041	10993	11859	11057	10290	9917	9382	8872	8350	7493	6765	6356	6000	5423	4546	3997	3463	3074	2743	2489	2092	1868	1692	1174	918	823	926	1015	1072	1007	942	780	748	749	627	578	531	445	368	329	287	217	203	140	104	84	63	42	24	24	13	7	9	6	6	0
6768	6223	5693	5473	5851	6136	6276	6211	6289	6224	6384	6752	6751	7060	7166	7555	7710	7843	7775	7320	7579	7780	8351	8880	9440	9688	10381	10591	11306	11712	11738	11768	12133	12096	11752	11281	11323	11074	12020	11878	12030	11660	11666	10706	11235	11197	11072	10911	11804	10988	10275	9803	9255	8741	8197	7330	6649	6186	5811	5213	4284	3741	3288	2904	2582	2186	1911	1763	1609	1128	886	785	883	953	1009	953	872	714	698	701	582	522	457	388	334	290	258	179	177	109	87	64	46	33	20	19	8	5	5	6	0
7292	6594	5983	5711	5619	6418	6359	6440	6468	6557	6529	6720	7063	6985	7321	7597	7958	7997	8028	7517	7467	7932	8274	9052	9852	10608	10865	11731	11796	12477	12750	12611	12631	12827	12645	12308	11649	11652	11309	12264	12040	12143	11729	11644	10679	11212	11154	11000	10833	11730	10914	10124	9645	9068	8579	8035	7109	6413	5937	5540	4904	3989	3518	3102	2737	2216	1982	1806	1666	1556	1072	860	742	833	900	944	875	803	677	645	649	525	465	407	350	301	251	223	141	146	86	69	50	34	29	15	12	2	2	3	0
8224	7358	6841	6580	6428	6611	6952	6876	6923	6931	7132	7019	7156	7476	7516	7967	8236	8391	8284	8000	7912	8037	8728	9274	10246	11283	12487	12780	13544	13423	14084	14071	13877	13632	13719	13364	12968	12160	12085	11623	12560	12262	12326	11793	11697	10720	11246	11139	10990	10803	11619	10830	10048	9514	8927	8400	7800	6828	6210	5713	5239	4651	3779	3336	2999	2404	2062	1891	1727	1619	1517	1034	825	711	791	848	891	823	734	622	598	601	475	404	362	295	263	216	192	120	107	63	57	39	22	18	11	8	2	1	0
